periods,bus 1,bus 2,bus 3,bus 4
1.0,70.0,70.0,70.0,70.0
2.0,53.5,53.5,53.5,53.5
3.0,53.5,53.5,53.5,53.5
4.0,53.5,53.5,53.5,53.5
5.0,53.5,53.5,53.5,53.5
6.0,53.5,53.5,53.5,53.5
7.0,53.522,53.522,53.522,53.522
8.0,54.681,54.681,54.681,54.681
9.0,85.163,85.163,85.163,85.163
10.0,85.156,85.156,85.156,85.156
11.0,84.681,84.681,84.681,84.681
12.0,73.297,73.297,73.297,73.297
13.0,53.5,53.5,53.5,53.5
14.0,70.0,70.0,70.0,70.0
15.0,70.0,70.0,70.0,70.0
16.0,70.0,70.0,70.0,70.0
17.0,53.5,53.5,53.5,53.5
18.0,53.5,53.5,53.5,53.5
19.0,103.0,103.0,103.0,103.0
20.0,75.0,75.0,75.0,75.0
21.0,117.844,117.844,117.844,117.844
22.0,53.49,53.49,53.49,53.49
23.0,53.322,53.322,53.322,53.322
24.0,50.345,50.345,50.345,50.345
