periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4
1.0,10.0,10.0,10.0,10.0
2.0,10.0,10.0,10.0,10.0
3.0,10.0,10.0,10.0,10.0
4.0,10.0,10.0,10.0,10.0
5.0,10.0,10.0,10.0,10.0
6.0,10.0,10.0,10.0,10.0
7.0,10.0,10.019,9.998,10.005
8.0,10.154,10.83,8.985,10.009
9.0,32.251,32.251,32.251,32.251
10.0,32.23,32.241,32.259,32.274
11.0,31.233,31.419,32.268,34.107
12.0,10.081,10.081,10.085,10.091
13.0,10.0,10.0,10.0,10.0
14.0,10.0,10.0,10.0,10.0
15.0,10.0,10.0,10.0,10.0
16.0,10.0,10.0,10.0,10.0
17.0,10.0,10.0,10.0,10.0
18.0,10.0,10.0,10.0,10.0
19.0,10.0,10.0,10.0,10.0
20.0,10.0,10.0,10.0,10.0
21.0,10.0,10.0,10.0,10.0
22.0,10.0,9.997,9.999,9.997
23.0,10.0,9.956,9.983,9.96
24.0,10.0,9.276,9.82,9.357
