periods,gen G1,gen G2,gen G3
1.0,30.0,3.75,34.034
2.0,-0.0,3.8864,-0.0
3.0,-0.0,3.7945,-0.0
4.0,-0.0,3.7069,-0.0
5.0,-0.0,3.6486,-0.0
6.0,-0.0,3.8529,-0.0
7.0,-0.0,4.0533,53.327
8.0,64.7171,3.5882,128.327
9.0,139.7171,3.276,203.327
10.0,214.7171,2.9638,278.327
11.0,150.0,3.1168,353.327
12.0,75.0,3.9251,278.327
13.0,0.0,4.5,203.327
14.0,-0.0,4.4664,128.327
15.0,-0.0,4.5,74.898
16.0,-0.0,4.5,86.573
17.0,-0.0,4.3946,130.998
18.0,75.0,4.316,205.998
19.0,150.0,4.5,280.998
20.0,86.676,4.5,338.485
21.0,150.0,4.5,263.485
22.0,75.0,4.2051,188.485
23.0,-0.0,4.2896,113.485
24.0,-0.0,3.9991,38.485
