periods,gnode 1,gnode 2,gnode 3,gnode 4
1.0,46.1163,43.4274,46.1163,47.9141
2.0,55.0,52.7131,55.0,56.5938
3.0,40.0,37.3465,40.0,41.0333
4.0,41.7631,38.9237,41.7631,43.5771
5.0,49.9023,47.4919,49.9023,51.713
6.0,55.0,52.6398,55.0,56.6507
7.0,50.5516,47.0868,50.5372,52.2603
8.0,55.0433,49.7852,54.4338,55.4237
9.0,51.9907,43.9538,50.5309,51.3844
10.0,45.0166,35.0148,43.3103,44.2946
11.0,42.3105,31.9255,40.5625,41.5662
12.0,44.6945,35.785,43.2368,44.1558
13.0,46.7294,39.7113,45.9175,46.946
14.0,41.0255,34.2316,40.665,42.2139
15.0,40.0426,32.9817,39.5751,41.0686
16.0,40.0027,32.8571,39.5136,40.9674
17.0,40.0002,32.7919,39.4769,40.9254
18.0,40.0,33.5792,39.6974,41.2572
19.0,40.0,33.7708,39.7677,41.3617
20.0,40.0,34.4026,39.8937,41.6082
21.0,40.0,34.7276,39.9427,41.7351
22.0,40.0,35.0378,39.9574,41.8351
23.0,40.0,35.1431,39.9746,41.8791
24.0,40.0,36.5994,40.0,41.7641
