periods,Hidraulic Power,Thermal power,Start-up and-Shut down,Power shedding,Well Production,Gas shedding
1.0,0.005,0.018,0.002,0.0,0.116,0.0
2.0,0.005,0.013,0.0,0.0,0.073,0.0
3.0,0.005,0.012,0.0,0.0,0.081,0.0
4.0,0.005,0.011,0.0,0.0,0.075,0.0
5.0,0.005,0.01,0.0,0.0,0.084,0.0
6.0,0.005,0.013,0.0,0.0,0.1,0.0
7.0,0.005,0.018,0.0,0.0,0.147,0.0
8.0,0.005,0.02,0.0,0.0,0.153,0.0
9.0,0.005,0.027,0.001,0.0,0.217,0.0
10.0,0.005,0.034,0.0,0.0,0.218,0.0
11.0,0.005,0.037,0.0,0.0,0.215,0.0
12.0,0.005,0.039,0.0,0.0,0.207,0.0
13.0,0.005,0.036,0.0,0.0,0.186,0.0
14.0,0.005,0.029,0.0,0.0,0.167,0.0
15.0,0.005,0.026,0.0,0.0,0.156,0.0
16.0,0.005,0.027,0.0,0.0,0.139,0.0
17.0,0.005,0.028,0.0,0.0,0.178,0.0
18.0,0.005,0.039,0.001,0.0,0.173,0.0
19.0,0.005,0.056,0.0,0.0,0.202,0.0
20.0,0.005,0.057,0.0,0.0,0.191,0.0
21.0,0.005,0.056,0.0,0.0,0.187,0.0
22.0,0.005,0.038,0.0,0.0,0.156,0.0
23.0,0.005,0.028,0.0,0.0,0.104,0.0
24.0,0.005,0.019,0.0,0.0,0.104,0.0
