periods,1,2,3,4,5,6,7,8,9,10
1.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
2.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
3.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
4.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
5.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
6.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
7.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
8.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
9.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
10.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
11.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
12.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
13.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
14.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
15.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
16.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
17.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
18.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
19.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
20.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
21.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.135
22.0,15.075,15.075,15.075,15.075,15.0,15.003,15.0,15.0,15.073,15.133
23.0,15.075,15.086,15.071,15.065,14.99,15.076,15.0,15.0,14.997,15.058
24.0,15.075,14.199,15.089,14.271,14.2,14.2,15.0,15.0,13.134,13.187
