periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,5.5171,3.6031,4.4076,1.1472,6.0,9.8295,5.2729
2.0,3.9682,2.1411,3.9823,2.1546,6.0,7.3954,4.5833
3.0,3.4488,2.0718,3.4485,2.0713,6.0,6.8391,4.2767
4.0,2.5441,1.1054,3.9095,3.1589,6.0,5.2911,4.454
5.0,3.1099,2.2115,3.1063,2.2114,6.0,7.2893,4.6093
6.0,3.2803,2.2442,3.2802,2.2441,6.0,8.2564,4.7237
7.0,3.8463,2.7055,3.613,2.3633,6.0,8.5723,5.5321
8.0,3.323,2.6028,3.3254,2.6052,5.9614,7.9204,6.6215
9.0,4.5158,3.9875,3.3598,2.6114,6.0,10.0,7.9562
10.0,4.8077,4.1282,3.7536,2.8307,6.0,10.0,8.3172
11.0,4.3609,3.6213,3.6711,2.7556,6.0,10.0,7.7542
12.0,4.3685,3.5828,3.4996,2.4561,6.0,10.0,7.2195
13.0,4.3888,3.4401,3.5625,2.2962,6.0,10.0,6.681
14.0,4.4154,3.4542,3.5726,2.2784,6.0,10.0,6.5563
15.0,4.7182,3.4063,3.9355,2.1958,6.0,10.0,6.3575
16.0,4.5398,3.4363,3.75,2.2881,6.0,10.0,6.4786
17.0,4.4955,3.4566,3.6797,2.2924,6.0,10.0,6.5045
18.0,4.566,3.3843,3.7765,2.1938,6.0,10.0,6.2014
19.0,4.8802,3.0701,4.1827,1.7875,6.0,10.0,5.4885
20.0,4.916,3.0342,4.233,1.7371,6.0,10.0,5.297
21.0,4.977,2.9732,4.3136,1.6566,6.0,10.0,5.2298
22.0,4.8863,3.0639,4.1978,1.7723,6.0,10.0,5.4108
23.0,4.7593,3.1909,4.0369,1.9332,6.0,10.0,5.7032
24.0,2.1196,1.3406,3.0531,2.5534,6.0,5.7806,5.05
