periods,bus 1,bus 2,bus 3,bus 4,bus 5,bus 6
1.0,115.953,115.953,115.953,115.953,115.953,115.953
2.0,115.875,115.875,115.875,115.875,115.875,115.875
3.0,115.875,115.875,115.875,115.875,115.875,115.875
4.0,115.875,115.875,115.875,115.875,115.875,115.875
5.0,115.875,115.875,115.875,115.875,115.875,115.875
6.0,115.843,115.843,115.843,115.843,115.843,115.843
7.0,115.953,115.953,115.953,115.953,115.953,115.953
8.0,115.953,115.953,115.953,115.953,115.953,115.953
9.0,180.3,180.3,180.3,180.3,180.3,180.3
10.0,180.3,180.3,180.3,180.3,180.3,180.3
11.0,180.307,180.307,180.307,180.307,180.307,180.307
12.0,183.884,183.884,183.884,183.884,183.884,183.884
13.0,115.953,115.953,115.953,115.953,115.953,115.953
14.0,115.953,115.953,115.953,115.953,115.953,115.953
15.0,115.953,115.953,115.953,115.953,115.953,115.953
16.0,115.953,115.953,115.953,115.953,115.953,115.953
17.0,115.953,115.953,115.953,115.953,115.953,115.953
18.0,115.953,115.953,115.953,115.953,115.953,115.953
19.0,115.953,115.953,115.953,115.953,115.953,115.953
20.0,115.953,115.953,115.953,115.953,115.953,115.953
21.0,115.963,115.963,115.963,115.963,115.963,115.963
22.0,115.953,115.953,115.953,115.953,115.953,115.953
23.0,113.622,113.622,113.622,113.622,113.622,113.622
24.0,111.028,111.028,111.028,111.028,111.028,111.028
