periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3,Pipe5 6->5,Pipe6 8->7,Pipe7 2->9
1.0,4.8533,2.7815,4.1789,1.3298,5.9146,8.845,4.8671
2.0,3.9377,2.1541,3.8902,2.0832,6.0162,7.1462,4.4898
3.0,3.336,1.8364,3.6358,2.3393,6.0242,6.5409,4.2797
4.0,3.2918,1.987,3.6156,2.4805,6.1379,7.0661,4.6038
5.0,3.0435,2.0021,3.1347,2.3793,5.7777,6.9951,4.5871
6.0,3.2834,2.2459,3.2835,2.2457,5.7782,7.8367,4.7335
7.0,3.9964,2.8141,3.7318,2.2615,6.003,8.8288,5.5706
8.0,3.3274,2.842,3.3199,2.6377,6.0,8.1443,6.6484
9.0,4.5182,4.0648,3.4003,2.6208,6.0003,10.112,8.0721
10.0,4.8182,4.1819,3.8244,2.7806,6.3166,10.4826,8.3464
11.0,4.4806,3.6612,3.7665,2.8663,6.2559,10.016,7.8602
12.0,4.456,3.6119,3.5322,2.5423,5.9908,10.0005,7.2909
13.0,4.4119,3.4773,3.5661,2.3079,5.9359,9.9528,6.6838
14.0,4.2049,3.4462,3.3327,2.2882,5.8525,9.8772,6.5559
15.0,4.2762,3.4029,3.4566,2.276,5.9181,9.9004,6.4443
16.0,4.4845,3.391,3.6725,2.2019,5.9667,9.9775,6.3375
17.0,4.4897,3.3811,3.7081,2.2418,5.9986,9.9683,6.3931
18.0,4.6826,3.2653,3.9242,2.0387,5.9848,9.9875,5.9578
19.0,5.2635,3.2289,4.5573,1.8771,6.1752,10.2156,5.6895
20.0,5.1676,3.092,4.5031,1.7885,6.1167,10.1103,5.3854
21.0,5.0063,3.0049,4.2945,1.795,6.0375,10.0088,5.3975
22.0,4.9295,3.0292,4.1983,1.8082,6.0145,10.0006,5.4052
23.0,4.5692,3.0865,3.7087,1.9634,5.9994,10.0,5.6326
24.0,2.009,1.3827,3.2193,2.5965,5.7844,5.2451,5.0469
