periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4,ngnode 5,ngnode 6,ngnode 7,ngnode 8,ngnode 9,ngnode 10
1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-0.001,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
3.0,-0.013,0.0,0.0,0.0,0.0,-0.003,0.0,0.0,-0.024,0.0
4.0,0.0,0.0,0.0,-0.739,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,-58.245,0.0,0.0,0.0,0.0,0.0,0.0
6.0,-619.024,0.0,0.0,-586.709,0.0,-204.702,-3.235,-3.235,0.0,0.0
7.0,-11118.665,0.0,0.0,0.0,0.0,-134.848,0.0,-350.66,0.0,0.0
8.0,-112627.121,0.0,0.0,-103547.558,0.0,-39483.697,-9112.837,-30830.341,0.0,0.0
9.0,-211.985,0.0,0.0,0.0,0.0,-23.343,0.0,0.0,0.0,0.0
10.0,-849.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,-0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
